Episode,Total_Reward,Mean_Reward,Episode_Length,Duration_Sec
389,-180.70075556503022,-30.116792594171702,500,2.8033084869384766
390,338.202898569883,56.36714976164717,500,5.68545937538147
391,-161.57147091746901,-26.928578486244835,500,2.8043594360351562
392,-164.04730740743543,-27.341217901239236,500,2.8274288177490234
393,-191.0476549153043,-31.841275819217383,500,3.0641961097717285
394,-166.9002607578568,-27.81671012630947,500,6.368837356567383
395,-174.99034043185748,-29.165056738642914,500,3.1582295894622803
396,-200.9237847401514,-33.4872974566919,500,3.2517058849334717
397,-163.04802715203368,-27.174671192005615,500,3.3036632537841797
398,-203.34149685368584,-33.890249475614304,500,6.253536701202393
399,-212.65695783642832,-35.44282630607139,500,3.195929527282715
400,-174.3410791630215,-29.05684652717025,500,2.900480031967163
401,-171.53750337115162,-28.589583895191936,500,14.197521924972534
402,-168.54498695318205,-28.090831158863676,500,6.533804655075073
403,-190.60312215346016,-31.767187025576693,500,3.2120003700256348
404,-186.5425193636415,-31.09041989394025,500,2.8951196670532227
405,343.7917038536116,57.29861730893526,500,3.215669631958008
406,-198.88316185374924,-33.14719364229154,500,6.607302665710449
407,-184.53788430470217,-30.756314050783697,500,3.316178798675537
408,-193.66967918691626,-32.278279864486045,500,3.532582998275757
409,-206.629120215052,-34.438186702508666,500,3.3844175338745117
410,-181.68163328858765,-30.280272214764608,500,6.657782316207886
411,-193.30431897166125,-32.21738649527688,500,3.4695498943328857
412,-227.28146308832083,-37.880243848053475,500,3.4608123302459717
413,-188.1532738902706,-31.35887898171177,500,5.435071706771851
414,-178.9340322150647,-29.82233870251078,500,7.176153182983398
415,-216.04345486992543,-36.007242478320904,500,3.411222219467163
416,-191.55483230672917,-31.92580538445486,500,3.606175422668457
417,-183.34624039237883,-30.55770673206314,500,3.285421848297119
418,-208.90166340650853,-34.816943901084755,500,6.107267618179321
419,-216.21010931672436,-36.03501821945406,500,3.367917776107788
420,-224.1239132644464,-37.3539855440744,500,3.2408106327056885
421,-192.57024544516264,-32.09504090752711,500,2.992575168609619
422,-180.58217285449064,-30.097028809081774,500,6.027751207351685
